accession,genus,species,date,elevation,collector,latitude,longitude,,
V17263,Elymus,repens,1939 Jul 03,,Thomas M.C. Taylor,45.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17259,Elymus,repens,1939 Jul 07,,Thomas M.C. Taylor,45.8,-86.3,Verbatim from Collector/Sheet,no anthers
V226880,Bromus,inermis,2003 Jun 14,1317 m,Jeffery M. Saarela,45.86,-111.9311,Verbatim from Collector/Sheet,anthers
V205862,Oryzopsis,asperifolia,1992 Jun 02,,Gerald B. Straley,45.9,-74.4,Verbatim from Collector/Sheet,anthers
V226881,Festuca,idahoensis,2003 Jun 14,1870 m,Jeffery M. Saarela,45.91,-112.0442,Verbatim from Collector/Sheet,no anthers
V224253,Bromus,carinatus,2001 Jun 17,,Sarah Gage,45.9818,-121.125,Verbatim from Collector/Sheet,no anthers
V225273,Brachyelytrum,aristosum,2002 Aug 02,467 m,Jeffery M. Saarela,46.21,-90.6463,Verbatim from Collector/Sheet,no anthers
V123585,Anthoxanthum,odoratum,1963 Jun 15,,G. Lemieux,46.3,-71.2,Verbatim from Collector/Sheet,no anthers
V235720,Deschampsia,caespitosa,1912 Jun 05,,J.K. Henry,46.3,-123.2,Verbatim from Collector/Sheet,no anthers
V222398,Phalaris,arundinacea,2003 Sep 04,0 m,Peter F. Zika,46.42,-123.88,Verbatim from Collector/Sheet,no anthers
V226886,Glyceria,grandis,2002 Aug 30,202 m,Jeffery M. Saarela,46.42,-81.1934,Verbatim from Collector/Sheet,anthers
V226887,Agrostis,scabra,2002 Aug 30,202 m,Jeffery M. Saarela,46.42,-81.1934,Verbatim from Collector/Sheet,anthers
V222701,Anthoxanthum,odoratum,2003 May 31,2 m/5 ft,Jessie Johanson,46.4265,-123.8946,Verbatim from Collector/Sheet,no anthers
V222706,Deschampsia,caespitosa,2003 May 31,2 m/5 ft,Jessie Johanson,46.4265,-123.8946,Verbatim from Collector/Sheet,no anthers
V222712,Deschampsia,caespitosa,2003 Jul 09,1 m/3 ft,Marianne Spahr,46.43,-123.8946,Verbatim from Collector/Sheet,anthers
